journal_name,issn,field,n_articles,n_with_review_time,median_days_submission_to_acceptance,p25_review,p75_review,mean_days_submission_to_acceptance,median_days_acceptance_to_publication,median_days_total,data_sources,publisher,sjr_rank,sjr_score,primary_area,mega_domain
Angiologiya i Sosudistaya Khirurgiya,1027-6661,Cardiovascular Medicine,100,100,140.5,87.75,252.0,184.45,,,pubmed,Geotar Media Publishing Group,23106,0.17,Medicine,Health Sciences
Heart,1468-201X,Cardiovascular Medicine,100,99,140.0,110.0,185.0,149.77777777777777,,,pubmed,BMJ Publishing Group,1763,1.781,Medicine,Health Sciences
American Journal of Medicine Open,2667-0364,Cardiovascular Medicine,100,100,139.0,83.25,209.5,146.19,,,pubmed,Elsevier Inc.,9053,0.637,Medicine,Health Sciences
Monaldi Archives for Chest Disease,1122-0643,Cardiovascular Medicine,61,61,137.0,96.0,172.0,134.01639344262296,,,pubmed,Page Press Publications,18438,0.254,Medicine,Health Sciences
Heart and Lung,0147-9563,Cardiovascular Medicine,100,100,136.0,109.75,163.0,136.86,58.0,199.5,pubmed,Elsevier Inc.,6658,0.811,Medicine,Health Sciences
Acta Cardiologica Sinica,1011-6842,Cardiovascular Medicine,100,99,134.0,84.5,197.5,156.67676767676767,,,pubmed,Republic of China Society of Cardiology,12596,0.452,Medicine,Health Sciences
Clinical Medicine Insights: Cardiology,1179-5468,Cardiovascular Medicine,100,99,133.0,107.5,205.0,156.04040404040404,37.0,104.0,pubmed,SAGE Publications Ltd,8535,0.671,Medicine,Health Sciences
Global Heart,2211-8179,Cardiovascular Medicine,100,100,132.5,91.25,202.0,156.65,18.0,95.0,pubmed,Elsevier Science &amp; Technology,4371,1.063,Medicine,Health Sciences
Journal of Cardiovascular Pharmacology,1533-4023,Cardiovascular Medicine,123,123,132.0,64.0,162.0,132.4227642276423,94.0,229.0,"crossref_assertion, pubmed",Lippincott Williams and Wilkins,8332,0.684,Medicine,Health Sciences
Journal of Interventional Cardiology,0896-4327,Cardiovascular Medicine,202,202,131.0,90.5,203.0,164.8960396039604,22.0,161.5,"crossref_assertion, pubmed",John Wiley and Sons Inc,8974,0.643,Medicine,Health Sciences
Journal of Vascular Research,1018-1172,Cardiovascular Medicine,100,100,130.5,91.75,183.25,147.69,63.0,165.5,pubmed,S. Karger AG,8076,0.702,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Current Vascular Pharmacology,1570-1611,Cardiovascular Medicine,104,104,129.0,67.0,177.0,131.32692307692307,42.5,185.5,"crossref_assertion, pubmed",Bentham Science Publishers,7739,0.726,Medicine,Health Sciences
Journal of Tehran University Heart Center,2008-2371,Cardiovascular Medicine,92,92,129.0,83.75,180.75,149.8586956521739,,68.5,pubmed,Teheran University of Medical Sciences,18004,0.264,Medicine,Health Sciences
Basic Research in Cardiology,0300-8428,Cardiovascular Medicine,200,200,128.5,72.75,202.5,163.135,19.5,168.0,"crossref_assertion, pubmed",Springer Science and Business Media Deutschland GmbH,796,2.834,"Biochemistry, Genetics and Molecular Biology",Life Sciences
"Nutrition, Metabolism and Cardiovascular Diseases",1590-3729,Cardiovascular Medicine,100,100,128.5,82.25,175.5,131.88,,,pubmed,Elsevier B.V.,4149,1.098,Medicine,Health Sciences
"Arteriosclerosis, Thrombosis, and Vascular Biology",1079-5642,Cardiovascular Medicine,100,100,128.0,70.75,180.25,139.6,63.0,186.5,crossref_assertion,Lippincott Williams and Wilkins,931,2.532,Medicine,Health Sciences
Cardiovascular and Hematological Agents in Medicinal Chemistry,1875-6182,Cardiovascular Medicine,100,100,128.0,97.0,153.0,126.55,114.0,237.0,pubmed,Bentham Science Publishers,15447,0.339,Medicine,Health Sciences
ESC Heart Failure,2055-5822,Cardiovascular Medicine,100,100,128.0,61.0,186.25,132.53,,,pubmed,John Wiley and Sons Inc,2686,1.403,Medicine,Health Sciences
Jornal Vascular Brasileiro,1677-5449,Cardiovascular Medicine,100,100,127.0,78.0,191.75,149.43,58.0,161.0,pubmed,Sociedade Brasileira de Angiologia e Cirurgia Vascular,17399,0.278,Medicine,Health Sciences
Journal of Hypertension,1473-5598,Cardiovascular Medicine,106,106,127.0,79.25,205.75,143.1320754716981,74.0,252.0,"crossref_assertion, pubmed",Lippincott Williams and Wilkins,4152,1.097,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Cardiovascular Diagnosis and Therapy,2223-3660,Cardiovascular Medicine,100,100,125.5,90.5,152.25,131.58,,,pubmed,AME Publishing Company,8003,0.707,Medicine,Health Sciences
"Clinical Medicine Insights: Circulatory, Respiratory and Pulmonary Medicine",1179-5484,Cardiovascular Medicine,100,99,125.0,87.5,182.5,146.82828282828282,29.0,160.5,pubmed,SAGE Publications Ltd,17206,0.283,Medicine,Health Sciences
Heart Lung and Circulation,1444-2892,Cardiovascular Medicine,100,100,125.0,71.75,203.0,141.97,,,pubmed,Elsevier Ltd,8415,0.678,Medicine,Health Sciences
Journal of Cerebrovascular and Endovascular Neurosurgery,2287-3139,Cardiovascular Medicine,101,101,124.0,88.0,217.0,161.4257425742574,238.0,474.0,"crossref_assertion, pubmed",Korean Society of Cerebrovascular Surgeons (KSCVS),14249,0.382,Medicine,Health Sciences
CPT: Pharmacometrics and Systems Pharmacology,2163-8306,Cardiovascular Medicine,107,107,123.0,96.0,166.5,130.42056074766356,28.0,125.0,"crossref_assertion, pubmed",American Society for Clinical Pharmacology and Therapeutics,3309,1.249,Mathematics,Physical Sciences
Cardiovascular Journal of Africa,1996-3467,Cardiovascular Medicine,100,98,122.5,47.5,224.0,153.8673469387755,,,pubmed,Clinics Cardive Publishing (PTY)Ltd,17951,0.265,Medicine,Health Sciences
Microcirculation,1073-9688,Cardiovascular Medicine,102,102,122.5,83.0,202.75,152.65686274509804,52.0,97.0,"crossref_assertion, pubmed",Wiley-Blackwell,9511,0.61,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Atherosclerosis,0021-9150,Cardiovascular Medicine,100,100,122.0,71.75,180.25,131.46,,,pubmed,Elsevier Ireland Ltd,1794,1.762,Medicine,Health Sciences
Catheterization and Cardiovascular Interventions,1522-726X,Cardiovascular Medicine,136,136,121.0,81.75,159.0,127.78676470588235,8.0,137.0,"crossref_assertion, pubmed",John Wiley and Sons Inc,4738,1.01,Medicine,Health Sciences
Journal of Vascular and Interventional Radiology,1051-0443,Cardiovascular Medicine,100,100,121.0,87.0,153.5,123.38,,,pubmed,Elsevier Inc.,8931,0.646,Medicine,Health Sciences
"Interventional Cardiology: Reviews, Research, Resources",1756-1485,Cardiovascular Medicine,100,98,120.5,86.25,181.25,154.74489795918367,76.0,152.0,pubmed,Radcliffe Cardiology,5183,0.959,Medicine,Health Sciences
Stroke and Vascular Neurology,2059-8696,Cardiovascular Medicine,100,100,120.5,89.0,184.0,146.7,,,pubmed,BMJ Publishing Group,1537,1.935,Medicine,Health Sciences
Circulation: Cardiovascular Interventions,1941-7632,Cardiovascular Medicine,100,100,118.5,75.75,157.5,122.85,59.5,179.0,crossref_assertion,Lippincott Williams and Wilkins Ltd.,692,3.039,Medicine,Health Sciences
Expert Review of Cardiovascular Therapy,1744-8344,Cardiovascular Medicine,106,106,118.5,92.0,166.5,133.56603773584905,8.0,131.0,crossref_assertion,Taylor and Francis Ltd.,8701,0.659,Medicine,Health Sciences
Clinical Hypertension,2056-5909,Cardiovascular Medicine,111,111,117.0,83.5,151.5,128.86486486486487,53.5,113.0,"crossref_assertion, pubmed",BioMed Central Ltd,4399,1.06,Medicine,Health Sciences
Cerebrovascular Diseases Extra,1664-5456,Cardiovascular Medicine,100,100,116.5,78.75,168.0,123.69,34.0,165.0,pubmed,S. Karger AG,11526,0.503,Medicine,Health Sciences
AsiaIntervention,2426-3958,Cardiovascular Medicine,100,100,116.0,83.0,163.25,127.47,,,pubmed,Europa Group,14638,0.368,Medicine,Health Sciences
Cardiovascular Ultrasound,1476-7120,Cardiovascular Medicine,101,101,116.0,81.0,156.0,130.78217821782178,11.0,168.0,"crossref_assertion, pubmed",BioMed Central Ltd,10370,0.561,Medicine,Health Sciences
EJVES Vascular Forum,2666-688X,Cardiovascular Medicine,100,100,115.5,70.75,186.5,133.91,23.0,115.0,pubmed,Elsevier Ltd,15042,0.354,Medicine,Health Sciences
Current Cardiology Reviews,1573-403X,Cardiovascular Medicine,106,105,115.0,90.0,141.0,113.4952380952381,211.5,207.0,"crossref_assertion, pubmed",Bentham Science Publishers,5977,0.872,Medicine,Health Sciences
Future Cardiology,1744-8298,Cardiovascular Medicine,104,103,112.0,90.5,157.5,127.03883495145631,7.0,123.0,crossref_assertion,Taylor and Francis Ltd.,12121,0.474,"Biochemistry, Genetics and Molecular Biology",Life Sciences
European Heart Journal - Digital Health,2634-3916,Cardiovascular Medicine,100,100,111.0,88.0,153.75,129.87,,,pubmed,Oxford University Press,2405,1.494,Medicine,Health Sciences
Cardiovascular Toxicology,1530-7905,Cardiovascular Medicine,101,101,110.0,81.0,159.0,141.87128712871288,31.0,212.0,"crossref_assertion, pubmed",Springer,6381,0.834,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Herz,1615-6692,Cardiovascular Medicine,102,102,109.5,54.0,162.0,121.03921568627452,38.0,182.0,"crossref_assertion, pubmed",Springer Medizin,14613,0.369,Medicine,Health Sciences
PACE - Pacing and Clinical Electrophysiology,0147-8389,Cardiovascular Medicine,116,116,109.5,70.5,225.25,163.70689655172413,14.0,78.0,"crossref_assertion, pubmed",John Wiley and Sons Inc,10339,0.563,Medicine,Health Sciences
American Journal of Cardiovascular Drugs,1175-3277,Cardiovascular Medicine,30,30,107.5,69.5,167.25,126.86666666666666,,,pubmed,,5934,0.876,Medicine,Health Sciences
JVS-Vascular Science,2666-3503,Cardiovascular Medicine,100,100,107.0,74.0,135.25,117.23,39.0,101.5,pubmed,Elsevier Inc.,6104,0.86,Medicine,Health Sciences
Cardio-Oncology,2057-3804,Cardiovascular Medicine,102,102,106.5,79.0,141.0,119.99019607843137,8.5,91.5,"crossref_assertion, pubmed",BioMed Central Ltd,5831,0.886,Medicine,Health Sciences
European Heart Journal Open,2752-4191,Cardiovascular Medicine,100,100,106.5,71.75,149.75,117.96,,,pubmed,Oxford University Press,2371,1.505,Medicine,Health Sciences
Vascular Health and Risk Management,1176-6344,Cardiovascular Medicine,100,100,106.0,83.75,128.25,109.23,7.0,43.5,pubmed,Dove Medical Press Ltd.,6482,0.826,Medicine,Health Sciences
European Journal of Preventive Cardiology,2047-4881,Cardiovascular Medicine,70,70,105.5,75.0,143.0,112.07142857142857,,,pubmed,Oxford University Press,1291,2.119,Medicine,Health Sciences
American Heart Journal Plus: Cardiology Research and Practice,2666-6022,Cardiovascular Medicine,100,100,104.0,62.25,153.0,116.32,,,pubmed,Elsevier Inc.,9546,0.607,Medicine,Health Sciences
Arquivos Brasileiros de Cardiologia,0066-782X,Cardiovascular Medicine,100,99,104.0,9.0,157.0,99.42424242424242,78.0,87.0,pubmed,Arquivos Brasileiros de Cardiologia,11986,0.48,Medicine,Health Sciences
Chest,0012-3692,Cardiovascular Medicine,100,100,103.5,2.75,171.75,109.53,,,pubmed,Elsevier Inc.,1684,1.834,Medicine,Health Sciences
Journal of Nuclear Cardiology,1532-6551,Cardiovascular Medicine,100,100,103.0,13.75,154.5,109.71,,,pubmed,American Society of Nuclear Cardiology,9926,0.585,Medicine,Health Sciences
Cardiology,0008-6312,Cardiovascular Medicine,100,100,102.5,45.0,147.0,100.39,293.5,320.0,pubmed,S. Karger AG,9738,0.596,Medicine,Health Sciences
Mediastinum,2522-6711,Cardiovascular Medicine,100,99,102.0,79.5,162.0,133.11111111111111,46.0,109.0,pubmed,AME Publishing Company,13540,0.411,Medicine,Health Sciences
BMC Cardiovascular Disorders,1471-2261,Cardiovascular Medicine,109,109,101.0,65.0,181.0,145.8440366972477,7.0,135.0,"crossref_assertion, pubmed",BioMed Central Ltd,7988,0.708,Medicine,Health Sciences
Journal of Cardiac Surgery,0886-0440,Cardiovascular Medicine,202,202,101.0,47.25,184.5,130.53960396039605,25.0,191.5,"crossref_assertion, pubmed",John Wiley and Sons Inc,11106,0.523,Medicine,Health Sciences
European Journal of Cardio-thoracic Surgery,1873-734X,Cardiovascular Medicine,100,100,100.5,75.5,129.75,101.15,,,pubmed,European Association for Cardio-Thoracic Surgery,4570,1.033,Medicine,Health Sciences
American Heart Journal,1097-6744,Cardiovascular Medicine,100,100,100.0,70.0,139.5,109.86,,,pubmed,Elsevier Inc.,1382,2.039,Medicine,Health Sciences
Frontiers in Cardiovascular Medicine,2297-055X,Cardiovascular Medicine,100,100,100.0,73.0,154.0,118.75,,77.0,pubmed,Frontiers Media SA,5028,0.975,Medicine,Health Sciences
World Journal of Cardiology,1949-8462,Cardiovascular Medicine,100,100,100.0,71.5,127.25,104.46,,,pubmed,Baishideng Publishing Group,8337,0.684,Medicine,Health Sciences
JACC: Advances,2772-963X,Cardiovascular Medicine,100,100,99.5,63.0,127.0,97.04,,,pubmed,Elsevier B.V.,2739,1.388,Medicine,Health Sciences
CardioRenal Medicine,1664-5502,Cardiovascular Medicine,100,100,98.5,61.75,142.0,105.04,21.0,70.0,pubmed,S. Karger AG,7780,0.723,Medicine,Health Sciences
Cardiovascular Pathology,1054-8807,Cardiovascular Medicine,100,100,98.5,60.75,129.25,101.75,86.5,145.0,pubmed,Elsevier Inc.,9939,0.584,Medicine,Health Sciences
Indian Heart Journal,2213-3763,Cardiovascular Medicine,100,100,97.5,52.0,173.25,128.67,,107.0,pubmed,Elsevier B.V.,12464,0.458,Medicine,Health Sciences
Annals of Pediatric Cardiology,0974-2069,Cardiovascular Medicine,151,151,97.0,57.0,145.5,101.66887417218543,101.0,177.0,"crossref_assertion, pubmed",Wolters Kluwer Medknow Publications,15391,0.341,Medicine,Health Sciences
Clinical Research in Cardiology,1861-0692,Cardiovascular Medicine,137,137,97.0,71.0,130.0,108.98540145985402,22.0,111.0,"crossref_assertion, pubmed",Taylor and Francis Ltd.,2349,1.514,Medicine,Health Sciences
International Journal of Vascular Medicine,2090-2824,Cardiovascular Medicine,100,100,97.0,64.25,144.75,105.84,31.0,96.0,pubmed,John Wiley and Sons Ltd,10415,0.559,Medicine,Health Sciences
Cerebrovascular Diseases,1421-9786,Cardiovascular Medicine,100,100,95.0,66.75,137.5,108.11,252.0,358.0,pubmed,S. Karger AG,8257,0.689,Medicine,Health Sciences
Journal of Stroke,2287-6391,Cardiovascular Medicine,104,104,95.0,66.0,132.0,98.97115384615384,92.5,203.0,"crossref_assertion, pubmed",Korean Stroke Society,853,2.702,Medicine,Health Sciences
Journal of Clinical Lipidology,1876-4789,Cardiovascular Medicine,100,100,94.5,44.5,132.25,93.11,,,pubmed,Elsevier Ltd,3224,1.267,Medicine,Health Sciences
Clinical Cardiology,1932-8737,Cardiovascular Medicine,103,103,94.0,18.0,190.5,121.89320388349515,11.0,73.0,"crossref_assertion, pubmed",John Wiley and Sons Inc,6435,0.83,Medicine,Health Sciences
Cardiovascular Endocrinology and Metabolism,2574-0954,Cardiovascular Medicine,100,100,91.5,52.5,117.5,96.58,,,pubmed,Lippincott Williams and Wilkins Ltd.,15502,0.337,Medicine,Health Sciences
Current Heart Failure Reports,1546-9530,Cardiovascular Medicine,39,39,91.0,58.0,138.0,114.0,,,pubmed,"Current Science, Inc.",2622,1.421,Medicine,Health Sciences
Archives of Cardiovascular Diseases,1875-2136,Cardiovascular Medicine,100,100,90.5,16.0,138.25,92.17,,,pubmed,Elsevier Masson s.r.l.,7885,0.716,Medicine,Health Sciences
Global Cardiology Science and Practice,2305-7823,Cardiovascular Medicine,100,100,89.0,61.0,124.25,90.06,,,pubmed,Hamad bin Khalifa University Press,14827,0.362,Medicine,Health Sciences
Translational Stroke Research,1868-601X,Cardiovascular Medicine,101,101,87.0,65.0,124.0,93.36633663366337,78.0,78.0,"crossref_assertion, pubmed",Springer,2257,1.546,Medicine,Health Sciences
